project;mergecommit;leftcommit;basecommit;rightcommit;ssmergeconfs;unmergeconfs
https://github.com/jenkinsci/jenkins;8cb24b6c13a9e76351e84c4f37af320e1d825f9b;574f83a962;1891deee30d8fb184316703c0262623d54c0c331;88e7b96b62;1;0
https://github.com/jenkinsci/jenkins;6af569c4f08d0a7de003ea8890c8b06eefddbc55;53be006b97;5a9ac399d2f1830fe5b31bc80c8071da4b9f70fb;67597a7c91;1;0
https://github.com/jenkinsci/jenkins;c88268d8705015df141d145936ec4f24a2e57c15;97a62a9bcc;53dd9046c98681ee1a1431b8d30aaf982eba471b;0d553f2d55;1;0
https://github.com/jenkinsci/jenkins;11120802c1ef457750f7a3debc7164750fb93ac9;93229dfc24;97a62a9bcc01aec85912dcc74af5dbef6950a006;c88268d870;1;0
https://github.com/jenkinsci/jenkins;c08e0bf79d75e5e92afbe57c5d19b272941ca670;a095ca003a;93229dfc24a48edef1332e63f5e2f45a7def9d20;11120802c1;1;0
https://github.com/jenkinsci/jenkins;888ca85784fc58b97d7aa382ebc98e59d6983fe3;9683f88ad6;f391f8be2bd09171b0e9f2e0948e68140e710389;c08e0bf79d;1;0
https://github.com/jenkinsci/jenkins;9b7b8b851079154297578e4ca087835d2e8454d0;0d553f2d55;d6bcfdac70bf8b1a8004420f8ce9b7b30ced7159;f4c7571baf;1;0
https://github.com/jenkinsci/jenkins;2de7f0adc55e6982d6dee0141b9c3f4f0a379718;7aac529840;0d553f2d552096e0a8299cc33681a76e9f6025b4;9b7b8b8510;1;0
https://github.com/jenkinsci/jenkins;fa99d6fe8ef2777e17c7116aa381bc2303ba62e1;11120802c1;c88268d8705015df141d145936ec4f24a2e57c15;2de7f0adc5;1;0
https://github.com/jenkinsci/jenkins;e3848ba2a0bfcd026aa15f81a37016fe9973f722;c08e0bf79d;11120802c1ef457750f7a3debc7164750fb93ac9;fa99d6fe8e;1;0
https://github.com/jenkinsci/jenkins;3ec94b8a4fdb1829a53879fe7a6a8d202a00687b;888ca85784;c08e0bf79d75e5e92afbe57c5d19b272941ca670;e3848ba2a0;1;0
https://github.com/jenkinsci/jenkins;f238ade13ef3ac7524a721d92ec5459f2287cc53;eb7f9ad0d5;0ebf47bd3485a742d8cd7fdabfe0b6d276e4d96a;808c44c8e3;1;0
https://github.com/jenkinsci/jenkins;92c81e6aee615ce6b16254ce9535cfa65a266a89;15c543d2e2;67597a7c91ea90dab5b28d17ab2e9a3f9d6439a6;746fdcba38;1;0
https://github.com/jenkinsci/jenkins;240405dfc33e9c9a96a159b36be269b3201567fa;49a65c2bbb;be2787ad5e3164a2c4417a40d4ad48465756effc;879f0556e3;2;0
https://github.com/jenkinsci/jenkins;c2d0a5778e8af44f4f68203f524054b26fb6b5f5;f0ece9f6ab;dd3a3d2d4ec57edbfaad85b81754babde5e149d5;97a0fa0d03;2;0
https://github.com/jenkinsci/jenkins;75e93bed8a1c6e570e517937448c5da8089991c2;25cb97bbc1;97a0fa0d036b9d3873c9b269123020a42e7ee3e9;c83a8fdf0d;1;0
